name	datetime	temp	feelslike	dew	humidity	precip	precipprob	preciptype	snow	snowdepth	windgust	windspeed	winddir	sealevelpressure	cloudcover	visibility	solarradiation	solarenergy	uvindex	severerisk	conditions	icon	stations
berlin	1992-07-04T19:00:00	22.7	22.7	15.9	65.58		0					0		1006.1	90	10.3					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-04T20:00:00	22.3	22.3	17	71.92		0					5.2	8	1006.1	67.6	6.1					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T21:00:00	19.4	19.4	18	91.57		0					12.2	313	1006.5	100	6.4					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-04T22:00:00	19.1	19.1	18.3	94.8		0					7.1	344	1007	100	6.1					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-04T23:00:00	19.3	19.3	18.1	92.51		0					4.1	341	1007.2	93.5	6.3					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T00:00:00	19.3	19.3	18.1	93.11		0					4	8	1007.1	100	5					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-05T01:00:00	18.3	18.3	17.3	93.98		0					7.1	38	1006.9	90.7	5.9					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-05T02:00:00	18.2	18.2	17.4	94.9		0					4.5	26	1006.8	93.5	5.4					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T03:00:00	18.5	18.5	17.9	96.26		0					0.5	26	1006.8	100	5.1					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-05T04:00:00	18.4	18.4	17.9	96.74		0					7.8	28	1006.9	90.7	5					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-05T05:00:00	18.3	18.3	17.8	96.78		0					11.5	49	1006.9	74.1	3.1					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T06:00:00	18.3	18.3	17.5	95.38		0					14.3	90	1007.1	90.7	2					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-05T07:00:00	18.1	18.1	17.5	96.28		0					20.5	73	1007.7	90.7	3.9					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-05T08:00:00	17.7	17.7	17.4	98.51		0					26	77	1008	74.1	2.2					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T09:00:00	17	17	16	94.08		0					39.4	77	1008.7	100	4.6					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T10:00:00	17.4	17.4	16.1	91.66		0					37.2	75	1009.1	63	7.9					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-05T11:00:00	18.1	18.1	15.1	82.39		0					30	70	1009.6	90	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-05T12:00:00	20.1	20.1	14.3	69.26		0					32.2	70	1009.7	90	11.7					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-05T13:00:00	21.1	21.1	13.9	63.47		0					38	60	1009.9	90	12					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-05T14:00:00	21.4	21.4	10.9	51.09		0					38.6	63	1010.1	93	15.9					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T15:00:00	20.5	20.5	9.7	50.06		0					42.8	68	1010.5	90	11.5					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-05T16:00:00	20.5	20.5	9.4	49.19		0					41.9	61	1010.2	99.5	17.7					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T17:00:00	21.1	21.1	9.6	47.94		0					38	60	1010.4	98.5	17					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T18:00:00	21.5	21.5	10.1	48.02		0					36.4	67	1010.1	99.3	12.4					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-05T19:00:00	21.7	21.7	9.9	47.05		0					28.7	58	1010.5	90	13.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-05T20:00:00	21.4	21.4	10.8	50.84		0					28.2	63	1010.6	98.5	16.1					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-05T21:00:00	20.9	20.9	11.6	55.43		0					31.9	56	1010.8	90	12.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-05T22:00:00	20.5	20.5	11.1	54.88		0					52.1	40	1011.3	100	13.2					Overcast	wind	10384099999,10389099999,10385099999
berlin	1992-07-05T23:00:00	19.3	19.3	10.6	57.23		0					47.8	48	1011.7	98.5	22					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T00:00:00	18.5	18.5	10.7	60.66		0					53.8	53	1011.9	90.7	11.7					Overcast	wind	10384099999,10389099999,10385099999
berlin	1992-07-06T01:00:00	17.1	17.1	10.7	65.94		0					55.3	46	1011.7	90	12.4					Partially cloudy	wind	10384099999,10389099999,10385099999
berlin	1992-07-06T02:00:00	16.1	16.1	10.7	70.48		0					47.7	48	1011.9	98.5	21.5					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T03:00:00	16.3	16.3	9.4	63.81		0					50.8	56	1011.9	90	12.4					Partially cloudy	wind	10384099999,10389099999,10385099999
berlin	1992-07-06T04:00:00	16.1	16.1	8.7	61.5		0					48.6	48	1011.3	90	11.5					Partially cloudy	wind	10384099999,10389099999,10385099999
berlin	1992-07-06T05:00:00	15.3	15.3	8.6	64.34		0					47.1	56	1011.2	90	21.5					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T06:00:00	15.1	15.1	8.5	64.94		0					46.3	57	1011.5	100	11.5					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T07:00:00	14.9	14.9	9	67.62		0					43.5	55	1012	99.3	12					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T08:00:00	14.2	14.2	10.6	78.76		0					43.2	63	1012.2	100	17.4					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T09:00:00	14.1	14.1	11.4	83.53		0					42.3	65	1012.1	100	17.4					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T10:00:00	14.7	14.7	11.4	80.64		0					36.9	58	1012	100	12					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T11:00:00	14.7	14.7	11.7	81.84		0					35.6	58	1012.5	100	17.4					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T12:00:00	14.5	14.5	12.3	86.79		0					31.3	56	1012.9	100	12.4					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T13:00:00	14.9	14.9	12.3	84.46		0					28.2	55	1013.1	100	11.7					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T14:00:00	15.2	15.2	12.7	84.77		0					25.1	42	1013.2	93.5	14.1					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T15:00:00	15.5	15.5	13.5	87.52		0					34.1	46	1013	90.7	11.1					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T16:00:00	15.5	15.5	13.6	88.54		0					30.2	46	1013.2	93.5	12.8					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T17:00:00	15.3	15.3	13.7	90.14		0					33.6	41	1013.2	93.5	10.2					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T18:00:00	14.7	14.7	13.5	92.85		0					37.8	38	1013.3	100	6.5					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T19:00:00	15.1	15.1	13.5	90.12		0					36.8	35	1013	100	9.7					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T20:00:00	15.5	15.5	13.3	86.78		0					35.2	35	1013.2	100	15.4					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-06T21:00:00	15.5	15.5	12.9	84.55		0					38.2	26	1013.4	100	10.8					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T22:00:00	15.7	15.7	11.9	78.49		0					39.4	33	1013.8	100	11.1					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-06T23:00:00	15.1	15.1	12.1	82.55		0					33.4	24	1014.1	100	19.6					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-07T00:00:00	15.1	15.1	11.8	80.41		0					35	30	1014.1	100	11.2					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-07T01:00:00	14.9	14.9	11.8	81.47		0					35.1	30	1014.1	100	12					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-07T02:00:00	14.8	14.8	11.1	78.35		0					28.1	36	1014	100	21.5					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-07T03:00:00	14.9	14.9	11.1	78.34		0					30	38	1013.8	100	11.5					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-07T04:00:00	14.7	14.7	11.3	80.21		0					35	21	1013.8	100	11.5					Overcast	cloudy	10384099999,10389099999,10385099999
